X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
18,B17,Herring Run Hillside Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3284985,-76.5712121,"Unmanaged: wild plants/weeds, forest, or grassland",1b0Tk7DoTT-Zvj42uPT41n4vldVaYmDxr,9,21213,8a,87,86,Urban and built-up,"Developed, Open Space",TRUE,MD510,33B,533944,25783483,H2,25,99,59.900001525878906,18.100000381469727,22,0.25,"c(1647963.27255971, 1980773.56201104)"
18,B17,Herring Run Hillside Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3284985,-76.5712121,"Unmanaged: wild plants/weeds, forest, or grassland",1b0Tk7DoTT-Zvj42uPT41n4vldVaYmDxr,9,21213,8a,87,86,Urban and built-up,"Developed, Open Space",TRUE,MD510,33B,533944,25783483,H1,0,25,68.5,21.5,10,2.5,"c(1647963.27255971, 1980773.56201104)"
19,B18,Herring Run Footbridge,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3328439,-76.5739265,"Unmanaged: wild plants/weeds, forest, or grassland",1OVfRdY_I4jW1jWnSTrRZM5lEn5e25sst,0,21214,7b,85,93,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,13E,533894,25783314,H3,61,165,89.69999694824219,1.7999999523162842,8.5,0.25,"c(1647637.39199733, 1981203.36408563)"
19,B18,Herring Run Footbridge,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3328439,-76.5739265,"Unmanaged: wild plants/weeds, forest, or grassland",1OVfRdY_I4jW1jWnSTrRZM5lEn5e25sst,0,21214,7b,85,93,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,13E,533894,25783314,H2,25,61,67.19999694824219,15.300000190734863,17.5,0.25,"c(1647637.39199733, 1981203.36408563)"
19,B18,Herring Run Footbridge,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3328439,-76.5739265,"Unmanaged: wild plants/weeds, forest, or grassland",1OVfRdY_I4jW1jWnSTrRZM5lEn5e25sst,0,21214,7b,85,93,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,13E,533894,25783314,H1,0,25,65.69999694824219,22.799999237060547,11.5,2.5,"c(1647637.39199733, 1981203.36408563)"
20,B19,Herring Run Montebello,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3319241,-76.5796275,"Managed: mowed/tended lawns, yard, or park",1EIz00fHcrx4WAcM9t5F_A6UTQ0viWTx9,12,21218,7b,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39E,533957,25783520,H3,102,165,NA,NA,NA,NA,"c(1647181.52766561, 1981003.5962573)"
20,B19,Herring Run Montebello,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3319241,-76.5796275,"Managed: mowed/tended lawns, yard, or park",1EIz00fHcrx4WAcM9t5F_A6UTQ0viWTx9,12,21218,7b,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39E,533957,25783520,H2,8,102,35.900001525878906,34.099998474121094,30,1.5,"c(1647181.52766561, 1981003.5962573)"
20,B19,Herring Run Montebello,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3319241,-76.5796275,"Managed: mowed/tended lawns, yard, or park",1EIz00fHcrx4WAcM9t5F_A6UTQ0viWTx9,12,21218,7b,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39E,533957,25783520,H1,0,8,42.099998474121094,37.900001525878906,20,1.5,"c(1647181.52766561, 1981003.5962573)"
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg2,140,203,61,24,15,0.009999999776482582,"c(1638202.53235667, 1975983.3542514)"
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg1,112,140,18,52,30,0.10000000149011612,"c(1638202.53235667, 1975983.3542514)"
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg2,46,74,25,54,21,0.25,"c(1638202.53235667, 1975983.3542514)"
