site_id,sample_id,lon,lat,collection_date,lon_cru,lat_cru,time,tmp
F03,Soil_F03_2,36.522455,-119.844327,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F04,Soil_F04_1,36.523365,-119.845056,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F04,Soil_F04_2,36.523365,-119.845056,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F05,Soil_F05_1,36.525379,-119.84267,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F05,Soil_F05_2,36.525379,-119.84267,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
GA01,Soil_GA01_1,33.83261,-84.3621,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA01,Soil_GA01_2,33.83261,-84.3621,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA02,Soil_GA02_1,33.83218,-84.3641,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA02,Soil_GA02_2,33.83218,-84.3641,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA03,Soil_GA03_1,33.83221,-84.36391,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA03,Soil_GA03_2,33.83221,-84.36391,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA04,Soil_GA04_1,33.83209,-84.36409,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
GA04,Soil_GA04_2,33.83209,-84.36409,2023-11-29,-84.25,33.75,2023-11-16,12.40000057220459
H01,Soil_H01_1,38.08406,-78.87576,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H01,Soil_H01_2,38.08406,-78.87576,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H02,Soil_H02_1,38.0856,-78.87687,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H02,Soil_H02_2,38.0856,-78.87687,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H03,Soil_H03_1,38.0845,-78.87622,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H03,Soil_H03_2,38.0845,-78.87622,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H04,Soil_H04_1,38.06631,-78.90991,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H04,Soil_H04_2,38.06631,-78.90991,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H05,Soil_H05_1,38.06538,-78.90738,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
H05,Soil_H05_2,38.06538,-78.90738,2024-02-20,-78.75,38.25,2024-02-15,5.900000095367432
MS01,Soil_MS01_1,45.174393,-93.35503,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
MS01,Soil_MS01_2,45.174393,-93.35503,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
MS02,Soil_MS02_1,45.174232,-93.354853,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
MS02,Soil_MS02_2,45.174232,-93.354853,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
MS03,Soil_MS03_1,45.174059,-93.354703,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
MS03,Soil_MS03_2,45.174059,-93.354703,2024-08-28,-93.25,45.25,2024-08-16,21.100000381469727
N01,Soil_N01_1,36.16786,-86.80898,2023-12-15,-86.75,36.25,2023-12-16,7.599999904632568
